"","beach_id","region","council","site","longitude","latitude","date","enterococci_cfu_100ml"
"73",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"22/09/2013",4
"74",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"02/09/2013",0
"75",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"10/09/2013",26
"76",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"16/08/2013",0
"77",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"14/08/2013",0
"78",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"22/08/2013",2
"79",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"08/08/2013",34
"80",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"12/07/2013",2
"81",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"24/07/2013",20
"82",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"30/06/2013",270
"83",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"17/06/2013",35
"84",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"25/05/2013",17
"85",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"31/05/2013",6
"86",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"07/05/2013",2
"87",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"01/05/2013",7
"88",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"24/04/2013",10
"89",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"18/04/2013",15
"90",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"12/04/2013",16
"91",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"25/03/2013",82
"92",26,"Sydney City Ocean Beaches","Randwick Council","Coogee Beach",151.25817,-33.92076,"02/04/2013",7
